timestamp,open,high,low,close,volume
2025-12-22 23:39:00,88481.81,88510.93,88481.8,88500.28,2.86925
2025-12-22 23:40:00,88500.28,88500.29,88485.25,88485.26,10.36615
2025-12-22 23:41:00,88485.25,88485.25,88456.49,88456.5,1.52326
2025-12-22 23:42:00,88456.5,88498.34,88456.49,88489.49,1.93771
2025-12-22 23:43:00,88489.49,88515.54,88485.52,88515.53,1.04223
2025-12-22 23:44:00,88515.54,88515.54,88504.79,88504.79,0.20944
2025-12-22 23:45:00,88504.8,88507.08,88470.15,88472.79,1.59104
2025-12-22 23:46:00,88472.79,88483.43,88472.78,88483.42,0.48552
2025-12-22 23:47:00,88483.43,88496.18,88470.15,88470.15,0.73147
2025-12-22 23:48:00,88470.16,88470.16,88470.15,88470.16,4.22973
2025-12-22 23:49:00,88470.16,88470.16,88440.0,88440.01,1.38139
2025-12-22 23:50:00,88440.01,88464.82,88440.01,88448.26,1.33372
2025-12-22 23:51:00,88448.26,88457.0,88448.25,88457.0,0.98605
2025-12-22 23:52:00,88456.99,88493.35,88430.43,88493.34,4.62255
2025-12-22 23:53:00,88493.35,88496.9,88493.35,88496.9,1.59041
2025-12-22 23:54:00,88496.89,88574.26,88496.89,88569.15,4.38295
2025-12-22 23:55:00,88569.14,88569.15,88540.0,88540.01,1.11933
2025-12-22 23:56:00,88540.01,88552.0,88540.0,88552.0,2.56989
2025-12-22 23:57:00,88552.0,88552.0,88538.03,88540.66,0.31108
2025-12-22 23:58:00,88540.66,88540.66,88540.65,88540.66,0.14082
2025-12-22 23:59:00,88540.66,88622.0,88540.65,88620.79,8.57918
2025-12-23 00:00:00,88620.79,88620.79,88547.38,88549.79,5.59079
2025-12-23 00:01:00,88549.79,88558.86,88542.09,88542.1,1.62653
2025-12-23 00:02:00,88542.1,88568.47,88542.09,88563.05,1.30301
2025-12-23 00:03:00,88563.06,88589.62,88506.8,88589.62,4.77833
2025-12-23 00:04:00,88589.61,88589.61,88504.78,88504.79,2.70236
2025-12-23 00:05:00,88504.79,88514.76,88504.78,88506.61,0.62007
2025-12-23 00:06:00,88506.62,88514.76,88504.79,88504.8,1.19423
2025-12-23 00:07:00,88504.8,88550.86,88504.79,88515.41,4.83718
2025-12-23 00:08:00,88515.41,88515.41,88515.4,88515.41,0.34891
2025-12-23 00:09:00,88515.41,88567.98,88515.4,88559.12,2.17368
2025-12-23 00:10:00,88559.12,88559.12,88515.4,88515.4,0.89142
2025-12-23 00:11:00,88515.41,88519.83,88515.4,88519.82,0.96764
2025-12-23 00:12:00,88519.83,88537.55,88519.83,88523.77,2.50992
2025-12-23 00:13:00,88523.78,88523.78,88523.77,88523.78,1.44005
2025-12-23 00:14:00,88523.78,88550.83,88523.77,88550.82,2.82429
2025-12-23 00:15:00,88550.83,88555.26,88544.3,88544.31,1.61526
2025-12-23 00:16:00,88544.3,88638.85,88544.3,88638.85,15.42393
2025-12-23 00:17:00,88638.85,88658.87,88602.11,88602.11,10.11553
2025-12-23 00:18:00,88602.12,88645.5,88602.12,88645.49,5.66064
2025-12-23 00:19:00,88645.5,88645.5,88629.25,88633.65,1.15218
2025-12-23 00:20:00,88633.65,88634.57,88573.39,88573.4,3.22399
